,DATE,S.IndAll
240,1980-08-28,0
241,1980-08-29,0
242,1980-08-30,0
243,1980-08-31,0
244,1980-09-01,0
245,1980-09-02,0
246,1980-09-03,0
247,1980-09-04,0
248,1980-09-05,0
249,1980-09-06,0
250,1980-09-07,0
251,1980-09-08,0
252,1980-09-09,0
253,1980-09-10,0
254,1980-09-11,0
255,1980-09-12,0
256,1980-09-13,0
257,1980-09-14,0
258,1980-09-15,0
259,1980-09-16,0
260,1980-09-17,0
261,1980-09-18,0
262,1980-09-19,0
263,1980-09-20,0
264,1980-09-21,0
265,1980-09-22,0
266,1980-09-23,0
267,1980-09-24,0
268,1980-09-25,0
269,1980-09-26,0
270,1980-09-27,0
271,1980-09-28,0
272,1980-09-29,0
273,1980-09-30,0
274,1980-10-01,0
275,1980-10-02,0
276,1980-10-03,0
277,1980-10-04,0
278,1980-10-05,0
279,1980-10-06,0
280,1980-10-07,0
281,1980-10-08,0
282,1980-10-09,0
283,1980-10-10,0
284,1980-10-11,0
285,1980-10-12,0
286,1980-10-13,0
287,1980-10-14,0
288,1980-10-15,0
289,1980-10-16,0
290,1980-10-17,0
291,1980-10-18,0
292,1980-10-19,0
293,1980-10-20,0
294,1980-10-21,0
295,1980-10-22,0
296,1980-10-23,0
297,1980-10-24,0
298,1980-10-25,0
299,1980-10-26,0
300,1980-10-27,0
301,1980-10-28,0
302,1980-10-29,0
303,1980-10-30,0
304,1980-10-31,0
305,1980-11-01,0
306,1980-11-02,0
307,1980-11-03,0
308,1980-11-04,0
309,1980-11-05,0
310,1980-11-06,0
311,1980-11-07,0
312,1980-11-08,0
313,1980-11-09,0
314,1980-11-10,0
315,1980-11-11,0
316,1980-11-12,0
317,1980-11-13,0
318,1980-11-14,0
319,1980-11-15,0
320,1980-11-16,0
321,1980-11-17,0
322,1980-11-18,0
323,1980-11-19,0
324,1980-11-20,0
325,1980-11-21,0
326,1980-11-22,0
327,1980-11-23,0
328,1980-11-24,0
329,1980-11-25,0
330,1980-11-26,0
331,1980-11-27,0
332,1980-11-28,0
333,1980-11-29,0
334,1980-11-30,0
335,1980-12-01,0
336,1980-12-02,0
337,1980-12-03,0
338,1980-12-04,0
339,1980-12-05,0
340,1980-12-06,0
341,1980-12-07,0
342,1980-12-08,0
343,1980-12-09,0
344,1980-12-10,0
345,1980-12-11,0
346,1980-12-12,0
347,1980-12-13,0
348,1980-12-14,0
349,1980-12-15,0
350,1980-12-16,0
351,1980-12-17,0
352,1980-12-18,0
353,1980-12-19,0
354,1980-12-20,0
355,1980-12-21,0
356,1980-12-22,0
357,1980-12-23,0
358,1980-12-24,0
359,1980-12-25,0
360,1980-12-26,0
361,1980-12-27,0
362,1980-12-28,0
363,1980-12-29,0
364,1980-12-30,0
365,1980-12-31,0
366,1981-01-01,0
367,1981-01-02,0
368,1981-01-03,0
369,1981-01-04,0
370,1981-01-05,0
371,1981-01-06,1
372,1981-01-07,1
373,1981-01-08,1
374,1981-01-09,0
375,1981-01-10,0
376,1981-01-11,0
377,1981-01-12,0
378,1981-01-13,0
379,1981-01-14,0
380,1981-01-15,0
381,1981-01-16,0
382,1981-01-17,0
383,1981-01-18,0
384,1981-01-19,0
385,1981-01-20,0
386,1981-01-21,0
387,1981-01-22,0
388,1981-01-23,0
389,1981-01-24,0
390,1981-01-25,0
391,1981-01-26,0
392,1981-01-27,0
393,1981-01-28,0
394,1981-01-29,0
395,1981-01-30,0
396,1981-01-31,0
397,1981-02-01,0
398,1981-02-02,0
399,1981-02-03,0
400,1981-02-04,0
401,1981-02-05,0
402,1981-02-06,0
403,1981-02-07,0
404,1981-02-08,0
405,1981-02-09,0
406,1981-02-10,0
407,1981-02-11,0
408,1981-02-12,0
409,1981-02-13,0
410,1981-02-14,0
411,1981-02-15,0
412,1981-02-16,0
413,1981-02-17,0
414,1981-02-18,0
415,1981-02-19,0
416,1981-02-20,0
417,1981-02-21,0
418,1981-02-22,0
419,1981-02-23,0
420,1981-02-24,0
421,1981-02-25,0
422,1981-02-26,0
423,1981-02-27,0
424,1981-02-28,0
425,1981-03-01,0
426,1981-03-02,0
427,1981-03-03,0
428,1981-03-04,0
429,1981-03-05,0
430,1981-03-06,0
431,1981-03-07,1
432,1981-03-08,1
433,1981-03-09,0
434,1981-03-10,0
435,1981-03-11,0
436,1981-03-12,0
437,1981-03-13,0
438,1981-03-14,0
439,1981-03-15,0
440,1981-03-16,0
441,1981-03-17,0
442,1981-03-18,0
443,1981-03-19,0
444,1981-03-20,0
445,1981-03-21,0
446,1981-03-22,0
447,1981-03-23,0
448,1981-03-24,0
449,1981-03-25,0
450,1981-03-26,0
451,1981-03-27,0
452,1981-03-28,0
453,1981-03-29,0
454,1981-03-30,0
455,1981-03-31,0
456,1981-04-01,0
457,1981-04-02,0
458,1981-04-03,0
459,1981-04-04,0
460,1981-04-05,0
461,1981-04-06,0
462,1981-04-07,0
463,1981-04-08,0
464,1981-04-09,1
465,1981-04-10,1
466,1981-04-11,1
467,1981-04-12,1
468,1981-04-13,0
469,1981-04-14,0
470,1981-04-15,0
471,1981-04-16,0
472,1981-04-17,0
473,1981-04-18,0
474,1981-04-19,0
475,1981-04-20,0
476,1981-04-21,0
477,1981-04-22,0
478,1981-04-23,0
479,1981-04-24,0
480,1981-04-25,0
481,1981-04-26,0
482,1981-04-27,0
483,1981-04-28,0
484,1981-04-29,0
485,1981-04-30,0
486,1981-05-01,0
487,1981-05-02,0
488,1981-05-03,0
489,1981-05-04,0
490,1981-05-05,0
491,1981-05-06,0
492,1981-05-07,0
493,1981-05-08,0
494,1981-05-09,0
495,1981-05-10,0
496,1981-05-11,0
497,1981-05-12,0
498,1981-05-13,0
499,1981-05-14,0
500,1981-05-15,0
501,1981-05-16,0
502,1981-05-17,0
503,1981-05-18,0
504,1981-05-19,0
505,1981-05-20,0
506,1981-05-21,0
507,1981-05-22,0
508,1981-05-23,0
509,1981-05-24,0
510,1981-05-25,0
511,1981-05-26,0
512,1981-05-27,0
513,1981-05-28,0
514,1981-05-29,0
515,1981-05-30,0
516,1981-05-31,0
517,1981-06-01,0
518,1981-06-02,0
519,1981-06-03,0
520,1981-06-04,0
521,1981-06-05,0
522,1981-06-06,0
523,1981-06-07,0
524,1981-06-08,0
525,1981-06-09,0
526,1981-06-10,0
527,1981-06-11,0
528,1981-06-12,0
529,1981-06-13,0
530,1981-06-14,0
531,1981-06-15,0
532,1981-06-16,0
533,1981-06-17,0
534,1981-06-18,0
535,1981-06-19,0
536,1981-06-20,0
537,1981-06-21,0
538,1981-06-22,0
539,1981-06-23,0
540,1981-06-24,0
541,1981-06-25,0
542,1981-06-26,0
543,1981-06-27,0
544,1981-06-28,0
545,1981-06-29,0
546,1981-06-30,0
547,1981-07-01,0
548,1981-07-02,0
549,1981-07-03,0
550,1981-07-04,0
551,1981-07-05,0
552,1981-07-06,0
553,1981-07-07,0
554,1981-07-08,0
555,1981-07-09,0
556,1981-07-10,0
557,1981-07-11,0
558,1981-07-12,0
559,1981-07-13,0
560,1981-07-14,0
561,1981-07-15,0
562,1981-07-16,0
563,1981-07-17,0
564,1981-07-18,0
565,1981-07-19,0
566,1981-07-20,0
567,1981-07-21,0
568,1981-07-22,0
569,1981-07-23,0
570,1981-07-24,0
571,1981-07-25,0
572,1981-07-26,0
573,1981-07-27,0
574,1981-07-28,0
575,1981-07-29,0
576,1981-07-30,0
577,1981-07-31,0
578,1981-08-01,0
579,1981-08-02,0
580,1981-08-03,0
581,1981-08-04,0
582,1981-08-05,0
583,1981-08-06,0
584,1981-08-07,0
585,1981-08-08,0
586,1981-08-09,0
587,1981-08-10,0
588,1981-08-11,0
589,1981-08-12,0
590,1981-08-13,0
591,1981-08-14,0
592,1981-08-15,0
593,1981-08-16,0
594,1981-08-17,0
595,1981-08-18,0
596,1981-08-19,0
597,1981-08-20,0
598,1981-08-21,0
599,1981-08-22,0
600,1981-08-23,0
601,1981-08-24,0
602,1981-08-25,0
603,1981-08-26,0
604,1981-08-27,0
605,1981-08-28,0
606,1981-08-29,0
607,1981-08-30,0
608,1981-08-31,0
609,1981-09-01,0
610,1981-09-02,0
611,1981-09-03,0
612,1981-09-04,0
613,1981-09-05,0
614,1981-09-06,0
615,1981-09-07,0
616,1981-09-08,0
617,1981-09-09,0
618,1981-09-10,0
619,1981-09-11,0
620,1981-09-12,0
621,1981-09-13,0
622,1981-09-14,0
623,1981-09-15,0
624,1981-09-16,0
625,1981-09-17,0
626,1981-09-18,0
627,1981-09-19,0
628,1981-09-20,0
629,1981-09-21,0
630,1981-09-22,0
631,1981-09-23,0
632,1981-09-24,0
633,1981-09-25,0
634,1981-09-26,0
635,1981-09-27,0
636,1981-09-28,0
637,1981-09-29,0
638,1981-09-30,0
639,1981-10-01,0
640,1981-10-02,0
641,1981-10-03,0
642,1981-10-04,0
643,1981-10-05,0
644,1981-10-06,0
645,1981-10-07,0
646,1981-10-08,0
647,1981-10-09,0
648,1981-10-10,0
649,1981-10-11,0
650,1981-10-12,0
651,1981-10-13,0
652,1981-10-14,0
653,1981-10-15,0
654,1981-10-16,0
655,1981-10-17,0
656,1981-10-18,0
657,1981-10-19,0
658,1981-10-20,0
659,1981-10-21,0
660,1981-10-22,1
661,1981-10-23,1
662,1981-10-24,1
663,1981-10-25,1
664,1981-10-26,1
665,1981-10-27,0
666,1981-10-28,0
667,1981-10-29,0
668,1981-10-30,0
669,1981-10-31,0
670,1981-11-01,0
671,1981-11-02,0
672,1981-11-03,0
673,1981-11-04,0
674,1981-11-05,0
675,1981-11-06,0
676,1981-11-07,1
677,1981-11-08,1
678,1981-11-09,1
679,1981-11-10,0
680,1981-11-11,0
681,1981-11-12,0
682,1981-11-13,0
683,1981-11-14,0
684,1981-11-15,0
685,1981-11-16,0
686,1981-11-17,0
687,1981-11-18,0
688,1981-11-19,0
689,1981-11-20,0
690,1981-11-21,0
691,1981-11-22,0
692,1981-11-23,0
693,1981-11-24,0
694,1981-11-25,0
695,1981-11-26,0
696,1981-11-27,0
697,1981-11-28,0
698,1981-11-29,0
699,1981-11-30,0
700,1981-12-01,0
701,1981-12-02,0
702,1981-12-03,0
703,1981-12-04,0
704,1981-12-05,0
705,1981-12-06,0
706,1981-12-07,0
707,1981-12-08,0
708,1981-12-09,0
709,1981-12-10,0
710,1981-12-11,0
711,1981-12-12,0
712,1981-12-13,0
713,1981-12-14,0
714,1981-12-15,0
715,1981-12-16,0
716,1981-12-17,0
717,1981-12-18,0
718,1981-12-19,0
719,1981-12-20,0
720,1981-12-21,0
721,1981-12-22,0
722,1981-12-23,0
723,1981-12-24,0
724,1981-12-25,0
725,1981-12-26,0
726,1981-12-27,0
727,1981-12-28,0
728,1981-12-29,0
729,1981-12-30,0
730,1981-12-31,0
731,1982-01-01,0
732,1982-01-02,0
733,1982-01-03,0
734,1982-01-04,0
735,1982-01-05,0
736,1982-01-06,0
737,1982-01-07,0
738,1982-01-08,0
739,1982-01-09,0
740,1982-01-10,1
741,1982-01-11,1
742,1982-01-12,1
743,1982-01-13,1
744,1982-01-14,1
745,1982-01-15,1
746,1982-01-16,1
747,1982-01-17,1
748,1982-01-18,0
749,1982-01-19,0
750,1982-01-20,0
751,1982-01-21,0
752,1982-01-22,0
753,1982-01-23,0
754,1982-01-24,0
755,1982-01-25,0
756,1982-01-26,0
757,1982-01-27,0
758,1982-01-28,0
759,1982-01-29,0
760,1982-01-30,0
761,1982-01-31,0
762,1982-02-01,0
763,1982-02-02,0
764,1982-02-03,0
765,1982-02-04,0
766,1982-02-05,0
767,1982-02-06,0
768,1982-02-07,0
769,1982-02-08,0
770,1982-02-09,0
771,1982-02-10,0
772,1982-02-11,0
773,1982-02-12,0
774,1982-02-13,0
775,1982-02-14,0
776,1982-02-15,0
777,1982-02-16,0
778,1982-02-17,0
779,1982-02-18,0
780,1982-02-19,0
781,1982-02-20,0
782,1982-02-21,0
783,1982-02-22,0
784,1982-02-23,0
785,1982-02-24,0
786,1982-02-25,0
787,1982-02-26,0
788,1982-02-27,0
789,1982-02-28,0
790,1982-03-01,0
791,1982-03-02,0
792,1982-03-03,0
793,1982-03-04,0
794,1982-03-05,0
795,1982-03-06,0
796,1982-03-07,0
797,1982-03-08,0
798,1982-03-09,0
799,1982-03-10,0
800,1982-03-11,0
801,1982-03-12,0
802,1982-03-13,0
803,1982-03-14,0
804,1982-03-15,0
805,1982-03-16,0
806,1982-03-17,0
807,1982-03-18,1
808,1982-03-19,0
809,1982-03-20,0
810,1982-03-21,1
811,1982-03-22,1
812,1982-03-23,1
813,1982-03-24,1
814,1982-03-25,1
815,1982-03-26,0
816,1982-03-27,0
817,1982-03-28,0
818,1982-03-29,0
819,1982-03-30,0
820,1982-03-31,0
821,1982-04-01,0
822,1982-04-02,0
823,1982-04-03,0
824,1982-04-04,0
825,1982-04-05,0
826,1982-04-06,0
827,1982-04-07,0
828,1982-04-08,0
829,1982-04-09,0
830,1982-04-10,0
831,1982-04-11,0
832,1982-04-12,0
833,1982-04-13,0
834,1982-04-14,0
835,1982-04-15,0
836,1982-04-16,0
837,1982-04-17,0
838,1982-04-18,0
839,1982-04-19,0
840,1982-04-20,0
841,1982-04-21,0
842,1982-04-22,0
843,1982-04-23,0
844,1982-04-24,0
845,1982-04-25,0
846,1982-04-26,1
847,1982-04-27,1
848,1982-04-28,1
849,1982-04-29,1
850,1982-04-30,1
851,1982-05-01,1
852,1982-05-02,0
853,1982-05-03,0
854,1982-05-04,0
855,1982-05-05,0
856,1982-05-06,0
857,1982-05-07,0
858,1982-05-08,0
859,1982-05-09,0
860,1982-05-10,0
861,1982-05-11,0
862,1982-05-12,0
863,1982-05-13,0
864,1982-05-14,0
865,1982-05-15,0
866,1982-05-16,0
867,1982-05-17,0
868,1982-05-18,0
869,1982-05-19,0
870,1982-05-20,0
871,1982-05-21,0
872,1982-05-22,0
873,1982-05-23,0
874,1982-05-24,0
875,1982-05-25,0
876,1982-05-26,0
877,1982-05-27,0
878,1982-05-28,0
879,1982-05-29,0
880,1982-05-30,0
881,1982-05-31,0
882,1982-06-01,0
883,1982-06-02,0
884,1982-06-03,0
885,1982-06-04,0
886,1982-06-05,0
887,1982-06-06,0
888,1982-06-07,0
889,1982-06-08,0
890,1982-06-09,0
891,1982-06-10,0
892,1982-06-11,0
893,1982-06-12,0
894,1982-06-13,0
895,1982-06-14,0
896,1982-06-15,0
897,1982-06-16,0
898,1982-06-17,0
899,1982-06-18,0
900,1982-06-19,0
901,1982-06-20,0
902,1982-06-21,0
903,1982-06-22,0
904,1982-06-23,0
905,1982-06-24,0
906,1982-06-25,0
907,1982-06-26,0
908,1982-06-27,0
909,1982-06-28,0
910,1982-06-29,0
911,1982-06-30,0
912,1982-07-01,0
913,1982-07-02,0
914,1982-07-03,0
915,1982-07-04,0
916,1982-07-05,0
917,1982-07-06,0
918,1982-07-07,0
919,1982-07-08,0
920,1982-07-09,0
921,1982-07-10,0
922,1982-07-11,0
923,1982-07-12,0
924,1982-07-13,0
925,1982-07-14,0
926,1982-07-15,0
927,1982-07-16,0
928,1982-07-17,0
929,1982-07-18,0
930,1982-07-19,0
931,1982-07-20,0
932,1982-07-21,0
933,1982-07-22,0
934,1982-07-23,0
935,1982-07-24,0
936,1982-07-25,0
937,1982-07-26,0
938,1982-07-27,0
939,1982-07-28,0
940,1982-07-29,0
941,1982-07-30,0
942,1982-07-31,0
943,1982-08-01,0
944,1982-08-02,0
945,1982-08-03,0
946,1982-08-04,0
947,1982-08-05,0
948,1982-08-06,0
949,1982-08-07,0
950,1982-08-08,0
951,1982-08-09,0
952,1982-08-10,0
953,1982-08-11,0
954,1982-08-12,0
955,1982-08-13,0
956,1982-08-14,0
957,1982-08-15,0
958,1982-08-16,0
959,1982-08-17,0
960,1982-08-18,0
961,1982-08-19,0
962,1982-08-20,0
963,1982-08-21,0
964,1982-08-22,0
965,1982-08-23,0
966,1982-08-24,0
967,1982-08-25,0
968,1982-08-26,0
969,1982-08-27,0
970,1982-08-28,0
971,1982-08-29,0
972,1982-08-30,0
973,1982-08-31,0
974,1982-09-01,0
975,1982-09-02,0
976,1982-09-03,0
977,1982-09-04,0
978,1982-09-05,0
979,1982-09-06,0
980,1982-09-07,0
981,1982-09-08,0
982,1982-09-09,0
983,1982-09-10,0
984,1982-09-11,0
985,1982-09-12,0
986,1982-09-13,0
987,1982-09-14,0
988,1982-09-15,0
989,1982-09-16,0
990,1982-09-17,0
991,1982-09-18,0
992,1982-09-19,0
993,1982-09-20,0
994,1982-09-21,0
995,1982-09-22,0
996,1982-09-23,0
997,1982-09-24,0
998,1982-09-25,0
999,1982-09-26,0
1000,1982-09-27,0
1001,1982-09-28,0
1002,1982-09-29,0
1003,1982-09-30,0
1004,1982-10-01,0
1005,1982-10-02,0
1006,1982-10-03,0
1007,1982-10-04,0
1008,1982-10-05,0
1009,1982-10-06,0
1010,1982-10-07,0
1011,1982-10-08,0
1012,1982-10-09,0
1013,1982-10-10,0
1014,1982-10-11,0
1015,1982-10-12,0
1016,1982-10-13,0
1017,1982-10-14,0
1018,1982-10-15,0
1019,1982-10-16,0
1020,1982-10-17,0
1021,1982-10-18,0
1022,1982-10-19,0
1023,1982-10-20,0
1024,1982-10-21,0
1025,1982-10-22,0
1026,1982-10-23,0
1027,1982-10-24,0
1028,1982-10-25,0
1029,1982-10-26,0
1030,1982-10-27,0
1031,1982-10-28,0
1032,1982-10-29,0
1033,1982-10-30,0
1034,1982-10-31,0
1035,1982-11-01,0
1036,1982-11-02,0
1037,1982-11-03,0
1038,1982-11-04,0
1039,1982-11-05,0
1040,1982-11-06,0
1041,1982-11-07,0
1042,1982-11-08,0
1043,1982-11-09,0
1044,1982-11-10,0
1045,1982-11-11,0
1046,1982-11-12,0
1047,1982-11-13,0
1048,1982-11-14,0
1049,1982-11-15,0
1050,1982-11-16,0
1051,1982-11-17,0
1052,1982-11-18,0
1053,1982-11-19,0
1054,1982-11-20,0
1055,1982-11-21,0
1056,1982-11-22,0
1057,1982-11-23,0
1058,1982-11-24,0
1059,1982-11-25,0
1060,1982-11-26,0
1061,1982-11-27,0
1062,1982-11-28,0
1063,1982-11-29,0
1064,1982-11-30,0
1065,1982-12-01,0
1066,1982-12-02,0
1067,1982-12-03,1
1068,1982-12-04,1
1069,1982-12-05,0
1070,1982-12-06,0
1071,1982-12-07,0
1072,1982-12-08,0
1073,1982-12-09,0
1074,1982-12-10,0
1075,1982-12-11,0
1076,1982-12-12,0
1077,1982-12-13,0
1078,1982-12-14,0
1079,1982-12-15,0
1080,1982-12-16,0
1081,1982-12-17,0
1082,1982-12-18,0
1083,1982-12-19,0
1084,1982-12-20,0
1085,1982-12-21,0
1086,1982-12-22,0
1087,1982-12-23,0
1088,1982-12-24,0
1089,1982-12-25,0
1090,1982-12-26,0
1091,1982-12-27,1
1092,1982-12-28,1
1093,1982-12-29,0
1094,1982-12-30,0
1095,1982-12-31,0
1096,1983-01-01,0
1097,1983-01-02,0
1098,1983-01-03,0
1099,1983-01-04,0
1100,1983-01-05,0
1101,1983-01-06,0
1102,1983-01-07,0
1103,1983-01-08,0
1104,1983-01-09,0
1105,1983-01-10,0
1106,1983-01-11,0
1107,1983-01-12,1
1108,1983-01-13,0
1109,1983-01-14,0
1110,1983-01-15,0
1111,1983-01-16,0
1112,1983-01-17,0
1113,1983-01-18,0
1114,1983-01-19,0
1115,1983-01-20,0
1116,1983-01-21,0
1117,1983-01-22,0
1118,1983-01-23,0
1119,1983-01-24,0
1120,1983-01-25,0
1121,1983-01-26,0
1122,1983-01-27,0
1123,1983-01-28,0
1124,1983-01-29,0
1125,1983-01-30,0
1126,1983-01-31,0
1127,1983-02-01,0
1128,1983-02-02,0
1129,1983-02-03,0
1130,1983-02-04,0
1131,1983-02-05,0
1132,1983-02-06,0
1133,1983-02-07,0
1134,1983-02-08,0
1135,1983-02-09,0
1136,1983-02-10,0
1137,1983-02-11,0
1138,1983-02-12,0
1139,1983-02-13,0
1140,1983-02-14,0
1141,1983-02-15,0
1142,1983-02-16,0
1143,1983-02-17,0
1144,1983-02-18,0
1145,1983-02-19,0
1146,1983-02-20,0
1147,1983-02-21,0
1148,1983-02-22,0
1149,1983-02-23,0
1150,1983-02-24,0
1151,1983-02-25,0
1152,1983-02-26,0
1153,1983-02-27,0
1154,1983-02-28,0
1155,1983-03-01,0
1156,1983-03-02,0
1157,1983-03-03,0
1158,1983-03-04,0
1159,1983-03-05,0
1160,1983-03-06,0
1161,1983-03-07,0
1162,1983-03-08,0
1163,1983-03-09,0
1164,1983-03-10,0
1165,1983-03-11,0
1166,1983-03-12,0
1167,1983-03-13,0
1168,1983-03-14,0
1169,1983-03-15,0
1170,1983-03-16,0
1171,1983-03-17,0
1172,1983-03-18,0
1173,1983-03-19,0
1174,1983-03-20,0
1175,1983-03-21,0
1176,1983-03-22,0
1177,1983-03-23,0
1178,1983-03-24,0
1179,1983-03-25,0
1180,1983-03-26,0
1181,1983-03-27,0
1182,1983-03-28,0
1183,1983-03-29,0
1184,1983-03-30,0
1185,1983-03-31,0
1186,1983-04-01,0
1187,1983-04-02,0
1188,1983-04-03,0
1189,1983-04-04,0
1190,1983-04-05,0
1191,1983-04-06,0
1192,1983-04-07,0
1193,1983-04-08,0
1194,1983-04-09,0
1195,1983-04-10,0
1196,1983-04-11,0
1197,1983-04-12,0
1198,1983-04-13,0
1199,1983-04-14,0
1200,1983-04-15,0
1201,1983-04-16,0
1202,1983-04-17,0
1203,1983-04-18,0
1204,1983-04-19,0
1205,1983-04-20,0
1206,1983-04-21,0
1207,1983-04-22,0
1208,1983-04-23,0
1209,1983-04-24,0
1210,1983-04-25,0
1211,1983-04-26,0
1212,1983-04-27,0
1213,1983-04-28,0
1214,1983-04-29,0
1215,1983-04-30,0
1216,1983-05-01,0
1217,1983-05-02,0
1218,1983-05-03,0
1219,1983-05-04,0
1220,1983-05-05,0
1221,1983-05-06,0
1222,1983-05-07,0
1223,1983-05-08,0
1224,1983-05-09,0
1225,1983-05-10,0
1226,1983-05-11,0
1227,1983-05-12,0
1228,1983-05-13,0
1229,1983-05-14,0
1230,1983-05-15,0
1231,1983-05-16,0
1232,1983-05-17,0
1233,1983-05-18,0
1234,1983-05-19,0
1235,1983-05-20,0
1236,1983-05-21,0
1237,1983-05-22,0
1238,1983-05-23,0
1239,1983-05-24,0
1240,1983-05-25,0
1241,1983-05-26,0
1242,1983-05-27,0
1243,1983-05-28,0
1244,1983-05-29,0
1245,1983-05-30,0
1246,1983-05-31,0
1247,1983-06-01,0
